price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,age
3950.0,2010.0,dodge,5,6,gas,160592.0,clean,11.0
6499.0,2009.0,toyota,4,4,gas,197129.0,clean,12.0
4500.0,2004.0,ford,3,6,gas,154000.0,clean,17.0
3900.0,2013.0,ford,3,4,gas,174000.0,clean,8.0
8900.0,2004.0,jeep,3,6,gas,169650.0,clean,17.0
10490.0,2015.0,ford,5,6,gas,102345.0,clean,6.0
11350.0,2014.0,kia,4,6,gas,105614.0,clean,7.0
8750.0,1997.0,jeep,4,6,gas,161000.0,clean,24.0
8500.0,2007.0,ford,3,8,gas,164000.0,clean,14.0
7700.0,2015.0,mini,4,4,gas,121000.0,clean,6.0
5600.0,2013.0,ford,4,4,gas,135000.0,clean,8.0
5000.0,2009.0,mercedes-benz,2,6,gas,125000.0,clean,12.0
19990.0,2006.0,chevrolet,3,8,gas,128887.0,clean,15.0
17490.0,2013.0,chevrolet,3,8,diesel,174774.0,clean,8.0
24990.0,2006.0,chevrolet,3,8,gas,116501.0,clean,15.0
24990.0,2008.0,ford,3,8,gas,107244.0,clean,13.0
25990.0,2008.0,ford,3,8,gas,107667.0,clean,13.0
33990.0,2014.0,ford,3,8,diesel,136250.0,clean,7.0
30990.0,2012.0,ford,3,8,diesel,121952.0,clean,9.0
2950.0,2006.0,bmw,3,6,gas,221733.0,clean,15.0
2700.0,2009.0,chevrolet,3,6,gas,140000.0,clean,12.0
9988.0,2013.0,toyota,3,4,hybrid,188549.0,clean,8.0
14888.0,2013.0,bmw,3,6,gas,133216.0,clean,8.0
5600.0,2008.0,mazda,4,4,gas,103000.0,rebuilt,13.0
19000.0,2008.0,ford,5,8,gas,100944.0,clean,13.0
22950.0,2014.0,jeep,4,6,gas,132865.0,clean,7.0
12500.0,2004.0,jeep,4,6,gas,212348.0,clean,17.0
18950.0,2012.0,jeep,4,6,gas,107530.0,clean,9.0
16950.0,2011.0,chevrolet,4,8,gas,137656.0,clean,10.0
4995.0,2006.0,honda,4,6,gas,150000.0,clean,15.0
3900.0,2008.0,toyota,4,4,gas,105000.0,clean,13.0
1500.0,1997.0,mazda,3,6,gas,193000.0,clean,24.0
11900.0,2000.0,ford,3,8,diesel,219983.0,clean,21.0
15900.0,2006.0,ford,3,8,diesel,141530.0,clean,15.0
28900.0,2014.0,chevrolet,3,8,diesel,166298.0,clean,7.0
28900.0,2011.0,chevrolet,3,8,diesel,187025.0,clean,10.0
7900.0,2007.0,chevrolet,3,8,gas,191100.0,clean,14.0
9995.0,2004.0,chevrolet,4,8,gas,127559.0,clean,17.0
4500.0,1997.0,lexus,4,8,gas,169000.0,clean,24.0
9500.0,2008.0,ford,4,8,gas,104060.0,clean,13.0
14500.0,2004.0,jeep,3,6,gas,134525.0,clean,17.0
32990.0,2011.0,ford,3,8,diesel,102290.0,clean,10.0
29990.0,2011.0,ford,3,8,diesel,137481.0,clean,10.0
4000.0,2003.0,jeep,4,6,gas,178000.0,clean,18.0
4000.0,2010.0,hyundai,3,6,gas,172000.0,clean,11.0
5000.0,2010.0,hyundai,5,4,gas,100451.0,clean,11.0
6350.0,2008.0,honda,4,4,gas,204000.0,clean,13.0
18250.0,2012.0,ford,3,6,gas,106000.0,clean,9.0
6000.0,2007.0,jeep,3,6,gas,136000.0,clean,14.0
22550.0,2012.0,jeep,4,6,gas,123958.0,clean,9.0
18575.0,2012.0,cadillac,4,8,gas,142208.0,clean,9.0
3200.0,2007.0,ford,3,6,gas,215500.0,clean,14.0
7700.0,2011.0,honda,4,6,gas,172000.0,clean,10.0
950.0,2004.0,buick,2,6,gas,214000.0,clean,17.0
9800.0,2008.0,mazda,3,6,gas,138266.0,clean,13.0
3000.0,2005.0,ford,3,4,gas,160000.0,clean,16.0
6500.0,2005.0,chevrolet,3,8,gas,201000.0,clean,16.0
37000.0,2012.0,dodge,4,6,diesel,163000.0,clean,9.0
4950.0,2006.0,honda,3,4,gas,188091.0,clean,15.0
4950.0,2009.0,pontiac,4,4,gas,191213.0,clean,12.0
12900.0,2010.0,ford,4,8,gas,144000.0,clean,11.0
10900.0,2011.0,honda,3,6,gas,103290.0,clean,10.0
7900.0,2014.0,dodge,3,4,gas,139345.0,clean,7.0
8900.0,2012.0,honda,3,6,gas,128904.0,clean,9.0
9800.0,2012.0,toyota,3,4,hybrid,126166.0,clean,9.0
20500.0,2006.0,ford,4,6,diesel,184000.0,clean,15.0
2300.0,2005.0,cadillac,3,6,gas,220000.0,clean,16.0
37000.0,2012.0,dodge,4,6,diesel,163000.0,clean,9.0
9800.0,2008.0,audi,4,6,gas,180000.0,clean,13.0
7900.0,2008.0,acura,4,6,gas,135808.0,clean,13.0
5500.0,2009.0,nissan,4,6,gas,106157.0,clean,12.0
9700.0,2012.0,mercedes-benz,4,4,gas,103834.0,clean,9.0
7498.0,2009.0,mercedes-benz,4,6,gas,138124.0,clean,12.0
15500.0,2013.0,bmw,4,6,gas,109868.0,clean,8.0
4650.0,2010.0,ford,4,4,gas,211896.0,clean,11.0
3950.0,2005.0,buick,4,6,gas,170000.0,clean,16.0
4650.0,2006.0,ford,4,6,gas,181000.0,clean,15.0
4650.0,2007.0,jeep,4,6,gas,212000.0,clean,14.0
3950.0,2009.0,ford,4,6,gas,130116.0,clean,12.0
1800.0,2001.0,audi,2,6,gas,158620.0,clean,20.0
10500.0,2013.0,honda,5,4,gas,118000.0,clean,8.0
5200.0,2006.0,bmw,4,6,gas,150000.0,clean,15.0
23900.0,2005.0,gmc,3,8,diesel,145970.0,clean,16.0
6800.0,2004.0,jeep,4,6,gas,119158.0,clean,17.0
21950.0,2012.0,jeep,4,6,gas,125000.0,clean,9.0
3800.0,2010.0,volkswagen,3,4,gas,101000.0,clean,11.0
7450.0,2008.0,toyota,4,6,gas,194051.0,clean,13.0
5800.0,2008.0,nissan,4,4,gas,146000.0,clean,13.0
4350.0,2009.0,chevrolet,3,4,gas,205000.0,clean,12.0
15995.0,2012.0,lexus,4,8,gas,148780.0,clean,9.0
10500.0,2013.0,chevrolet,5,4,gas,111000.0,clean,8.0
2700.0,2006.0,pontiac,2,4,gas,190000.0,clean,15.0
3000.0,2006.0,hyundai,2,6,gas,216000.0,clean,15.0
3000.0,2002.0,jeep,3,6,gas,191000.0,clean,19.0
4000.0,2002.0,ram,3,6,gas,176537.0,clean,19.0
10300.0,2012.0,dodge,4,6,gas,114457.0,clean,9.0
6800.0,1999.0,jeep,4,6,gas,202500.0,clean,22.0
10900.0,2011.0,mercedes-benz,4,6,gas,144000.0,clean,10.0
11900.0,2012.0,mercedes-benz,4,6,gas,134000.0,clean,9.0
3000.0,2008.0,buick,3,8,gas,173000.0,clean,13.0
8900.0,2011.0,honda,4,4,gas,103000.0,clean,10.0
8900.0,2015.0,chevrolet,4,4,gas,118745.0,clean,6.0
2000.0,1998.0,nissan,3,6,gas,203000.0,clean,23.0
4400.0,2004.0,gmc,2,8,gas,202000.0,clean,17.0
2600.0,1999.0,chevrolet,3,6,gas,178000.0,clean,22.0
11900.0,2012.0,mini,4,4,gas,109000.0,clean,9.0
13000.0,2008.0,toyota,2,8,gas,135000.0,clean,13.0
16500.0,2008.0,ford,4,8,diesel,104000.0,clean,13.0
9500.0,2007.0,gmc,4,8,gas,207511.0,clean,14.0
7950.0,2012.0,dodge,4,6,gas,118398.0,clean,9.0
7950.0,2012.0,kia,3,6,gas,101805.0,clean,9.0
5950.0,2010.0,chrysler,3,6,gas,129175.0,clean,11.0
13999.0,2015.0,nissan,5,6,gas,111800.0,clean,6.0
4500.0,2013.0,nissan,3,4,gas,125100.0,clean,8.0
12345.0,2009.0,dodge,3,6,gas,214000.0,clean,12.0
13900.0,2015.0,hyundai,4,4,gas,104498.0,clean,6.0
13700.0,2011.0,lincoln,4,8,gas,138567.0,clean,10.0
9900.0,2008.0,gmc,4,8,hybrid,201100.0,clean,13.0
1900.0,2005.0,hyundai,4,6,gas,196680.0,clean,16.0
7900.0,2013.0,nissan,4,6,gas,151298.0,clean,8.0
8900.0,2012.0,jeep,4,6,other,132354.0,clean,9.0
4500.0,2013.0,chrysler,4,4,gas,143000.0,clean,8.0
10500.0,2014.0,toyota,4,4,gas,102000.0,clean,7.0
2500.0,2007.0,ford,4,4,gas,134000.0,clean,14.0
24500.0,2015.0,chevrolet,5,8,gas,109000.0,clean,6.0
4400.0,2015.0,ford,5,4,gas,120000.0,clean,6.0
8000.0,2001.0,ford,4,8,gas,199000.0,clean,20.0
6500.0,2006.0,nissan,3,6,gas,113000.0,clean,15.0
3000.0,1997.0,ford,3,8,gas,200000.0,clean,24.0
8500.0,2012.0,chevrolet,4,6,gas,110000.0,clean,9.0
4700.0,2006.0,chrysler,3,8,gas,116000.0,clean,15.0
12900.0,2002.0,jeep,3,6,gas,182502.0,clean,19.0
20990.0,2013.0,ford,3,6,gas,146582.0,clean,8.0
16400.0,2004.0,jeep,4,6,gas,142275.0,clean,17.0
21950.0,1997.0,jeep,4,6,gas,130440.0,clean,24.0
17500.0,2013.0,chevrolet,3,8,gas,185000.0,clean,8.0
14250.0,2012.0,ford,3,8,gas,117000.0,clean,9.0
11000.0,2012.0,ford,3,8,gas,155000.0,clean,9.0
4995.0,2003.0,ford,3,6,gas,199786.0,clean,18.0
13650.0,2015.0,ford,3,4,gas,126000.0,clean,6.0
7495.0,2012.0,chevrolet,3,6,gas,160846.0,clean,9.0
11990.0,2015.0,ford,4,6,gas,186000.0,clean,6.0
10990.0,2011.0,ford,4,6,gas,123000.0,clean,10.0
12500.0,2014.0,gmc,5,6,gas,157000.0,clean,7.0
7200.0,2014.0,honda,3,4,gas,215000.0,clean,7.0
5250.0,2003.0,toyota,3,6,gas,170000.0,clean,18.0
5500.0,2011.0,gmc,3,4,gas,210500.0,clean,10.0
8495.0,2011.0,dodge,3,6,gas,161819.0,clean,10.0
13750.0,2015.0,ford,3,4,gas,126000.0,clean,6.0
2950.0,2008.0,chrysler,4,4,gas,169000.0,clean,13.0
7000.0,2006.0,toyota,4,6,gas,174000.0,clean,15.0
6100.0,2008.0,chrysler,4,8,gas,133400.0,clean,13.0
1500.0,2004.0,kia,3,4,gas,200000.0,clean,17.0
14999.0,2002.0,jeep,3,6,gas,108500.0,clean,19.0
12900.0,2013.0,honda,4,6,gas,130000.0,clean,8.0
5000.0,2009.0,mini,3,4,gas,117000.0,clean,12.0
2900.0,2002.0,honda,4,4,gas,146000.0,clean,19.0
2499.0,2004.0,gmc,3,6,gas,190000.0,clean,17.0
16995.0,2007.0,gmc,4,8,gas,153778.0,clean,14.0
26995.0,2014.0,ford,4,8,gas,170896.0,clean,7.0
10995.0,2015.0,ford,4,4,gas,102662.0,clean,6.0
